timestamp,pump_id,vibration_rms_mms,bearing_temp_c,seal_flush_pressure_psi,leakage_rate_dpm,status
2026-09-15 08:00:00,P-104A,3.44,52.4,36.9,2,NORMAL
2026-09-15 08:15:00,P-104A,2.39,53.6,40.2,1,NORMAL
2026-09-15 08:30:00,P-104A,3.34,52.5,35.7,2,NORMAL
2026-09-15 08:45:00,P-104A,3.16,52.4,36.4,4,NORMAL
2026-09-15 09:00:00,P-104A,2.56,61.4,40.7,1,NORMAL
2026-09-15 09:15:00,P-104A,3.69,54.6,38.0,3,NORMAL
2026-09-15 09:30:00,P-104A,2.43,67.3,37.4,1,NORMAL
2026-09-15 09:45:00,P-104A,2.9,57.7,37.4,3,NORMAL
2026-09-15 10:00:00,P-104A,3.79,63.7,38.8,4,NORMAL
2026-09-15 10:15:00,P-104A,2.27,56.7,39.4,3,NORMAL
2026-09-15 10:30:00,P-104A,3.31,63.3,35.3,2,NORMAL
2026-09-15 10:45:00,P-104A,3.72,67.8,41.0,1,NORMAL
2026-09-15 11:00:00,P-104A,2.9,59.3,40.8,2,NORMAL
2026-09-15 11:15:00,P-104A,2.88,55.4,36.9,1,NORMAL
2026-09-15 11:30:00,P-104A,3.38,54.7,40.1,2,NORMAL
2026-09-15 11:45:00,P-104A,3.07,56.3,41.5,2,NORMAL
2026-09-15 12:00:00,P-104A,3.54,65.5,40.4,2,NORMAL
2026-09-15 12:15:00,P-104A,3.83,64.9,37.8,1,NORMAL
2026-09-15 12:30:00,P-104A,2.54,67.1,41.1,3,NORMAL
2026-09-15 12:45:00,P-104A,2.55,60.0,41.2,4,NORMAL
2026-09-15 13:00:00,P-104A,2.4,54.2,40.2,3,NORMAL
2026-09-15 13:15:00,P-104A,3.67,58.9,39.1,3,NORMAL
2026-09-15 13:30:00,P-104A,2.56,68.0,38.6,1,NORMAL
2026-09-15 13:45:00,P-104A,3.69,65.8,36.1,2,NORMAL
2026-09-15 14:00:00,P-104A,3.76,58.8,35.4,4,NORMAL
2026-09-15 14:15:00,P-104A,3.35,59.5,36.8,1,NORMAL
2026-09-15 14:30:00,P-104A,3.53,53.8,41.2,3,NORMAL
2026-09-15 14:45:00,P-104A,3.71,57.4,37.1,2,NORMAL
2026-09-15 15:00:00,P-104A,3.05,67.3,41.1,3,NORMAL
2026-09-15 15:15:00,P-104A,4.14,64.2,38.6,1,NORMAL
2026-09-15 15:30:00,P-104A,3.93,56.8,39.5,2,NORMAL
2026-09-15 15:45:00,P-104A,2.42,64.2,38.8,1,NORMAL
2026-09-15 16:00:00,P-104A,3.36,59.8,35.8,3,NORMAL
2026-09-15 16:15:00,P-104A,3.95,65.3,37.2,1,NORMAL
2026-09-15 16:30:00,P-104A,2.61,61.1,35.6,4,NORMAL
2026-09-15 16:45:00,P-104A,3.81,67.6,38.7,2,NORMAL
2026-09-15 17:00:00,P-104A,2.37,59.6,38.8,3,NORMAL
2026-09-15 17:15:00,P-104A,3.21,61.7,41.8,2,NORMAL
2026-09-15 17:30:00,P-104A,3.6,58.4,39.7,3,NORMAL
2026-09-15 17:45:00,P-104A,3.02,60.3,35.8,2,NORMAL
2026-09-15 18:00:00,P-104A,2.23,52.3,38.9,2,NORMAL
2026-09-15 18:15:00,P-104A,2.12,63.3,35.4,1,NORMAL
2026-09-15 18:30:00,P-104A,4.0,65.8,35.5,2,NORMAL
2026-09-15 18:45:00,P-104A,2.68,59.8,38.8,4,NORMAL
2026-09-15 19:00:00,P-104A,2.61,59.6,37.8,1,NORMAL
2026-09-15 19:15:00,P-104A,2.3,58.9,38.0,4,NORMAL
2026-09-15 19:30:00,P-104A,3.91,52.9,39.6,1,NORMAL
2026-09-15 19:45:00,P-104A,2.23,63.7,40.6,1,NORMAL
2026-09-15 20:00:00,P-104A,2.62,55.0,38.1,4,NORMAL
2026-09-15 20:15:00,P-104A,2.49,59.4,41.1,1,NORMAL
2026-09-15 20:30:00,P-104A,3.03,65.8,38.9,1,NORMAL
2026-09-15 20:45:00,P-104A,3.47,60.6,35.1,1,NORMAL
2026-09-15 21:00:00,P-104A,4.05,65.6,36.2,4,NORMAL
2026-09-15 21:15:00,P-104A,3.11,65.8,41.3,2,NORMAL
2026-09-15 21:30:00,P-104A,2.9,67.8,36.9,4,NORMAL
2026-09-15 21:45:00,P-104A,2.7,63.1,40.1,4,NORMAL
2026-09-15 22:00:00,P-104A,2.43,56.7,41.8,1,NORMAL
2026-09-15 22:15:00,P-104A,3.67,52.9,39.1,2,NORMAL
2026-09-15 22:30:00,P-104A,2.22,60.1,41.0,1,NORMAL
2026-09-15 22:45:00,P-104A,3.35,62.8,36.6,1,NORMAL
2026-09-15 23:00:00,P-104A,4.08,61.1,39.1,1,NORMAL
2026-09-15 23:15:00,P-104A,3.4,58.7,39.1,3,NORMAL
2026-09-15 23:30:00,P-104A,4.06,55.3,40.0,2,NORMAL
2026-09-15 23:45:00,P-104A,2.66,54.1,39.5,4,NORMAL
2026-09-16 00:00:00,P-104A,2.76,64.0,35.5,4,NORMAL
2026-09-16 00:15:00,P-104A,5.48,80.8,25.7,16,WARNING
2026-09-16 00:30:00,P-104A,5.03,78.3,31.5,9,WARNING
2026-09-16 00:45:00,P-104A,5.77,79.1,26.1,16,WARNING
2026-09-16 01:00:00,P-104A,5.57,81.2,31.9,18,WARNING
2026-09-16 01:15:00,P-104A,5.38,81.7,28.9,18,WARNING
2026-09-16 01:30:00,P-104A,4.91,83.5,26.9,9,WARNING
2026-09-16 01:45:00,P-104A,5.62,77.3,27.0,11,WARNING
2026-09-16 02:00:00,P-104A,5.59,77.7,29.4,12,WARNING
2026-09-16 02:15:00,P-104A,5.36,78.1,31.4,8,WARNING
2026-09-16 02:30:00,P-104A,4.9,79.6,26.9,8,WARNING
2026-09-16 02:45:00,P-104A,5.17,77.1,31.9,10,WARNING
2026-09-16 03:00:00,P-104A,5.62,80.7,28.0,8,WARNING
2026-09-16 03:15:00,P-104A,4.92,84.0,29.8,10,WARNING
2026-09-16 03:30:00,P-104A,5.4,83.1,29.1,10,WARNING
2026-09-16 03:45:00,P-104A,5.27,76.4,27.6,8,WARNING
2026-09-16 04:00:00,P-104A,5.79,77.8,26.7,9,WARNING
2026-09-16 04:15:00,P-104A,5.19,80.8,31.1,17,WARNING
2026-09-16 04:30:00,P-104A,5.62,83.9,26.7,10,WARNING
2026-09-16 04:45:00,P-104A,5.87,82.9,31.2,8,WARNING
2026-09-16 05:00:00,P-104A,5.0,83.9,30.5,14,WARNING
2026-09-16 05:15:00,P-104A,5.68,83.3,30.7,12,WARNING
2026-09-16 05:30:00,P-104A,6.2,90.9,20.3,21,CRITICAL
2026-09-16 05:45:00,P-104A,6.62,87.6,22.9,28,CRITICAL
2026-09-16 06:00:00,P-104A,6.31,91.7,23.2,24,CRITICAL
2026-09-16 06:15:00,P-104A,6.11,87.4,20.0,22,CRITICAL
2026-09-16 06:30:00,P-104A,6.68,88.0,21.8,27,CRITICAL
2026-09-16 06:45:00,P-104A,6.51,91.9,20.0,21,CRITICAL
2026-09-16 07:00:00,P-104A,6.17,92.8,19.1,25,CRITICAL
2026-09-16 07:15:00,P-104A,6.12,90.2,20.1,26,CRITICAL
2026-09-16 07:30:00,P-104A,6.36,92.9,18.7,24,CRITICAL
2026-09-16 07:45:00,P-104A,6.25,91.0,18.0,24,CRITICAL
2026-09-16 08:00:00,P-104A,6.32,86.5,22.0,26,CRITICAL
2026-09-16 08:15:00,P-104A,6.47,90.6,18.7,25,CRITICAL
2026-09-16 08:30:00,P-104A,6.4,90.7,20.0,25,CRITICAL
2026-09-16 08:45:00,P-104A,6.43,87.3,22.0,27,CRITICAL
